疯狂原始人,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,喜剧/动画/冒险,美国,2013,8.7,830745人评价,https://movie.douban.com/subject/1907966/
心迷宫,忻钰坤 Yukun Xin,剧情/犯罪/悬疑,中国大陆,2014,8.7,514587人评价,https://movie.douban.com/subject/25917973/
谍影重重3,保罗·格林格拉斯 Paul Greengrass,动作/悬疑/惊悚,美国/德国/法国/英国,2007,8.8,413794人评价,https://movie.douban.com/subject/1578507/
上帝之城,费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund  &nbsp...,犯罪/剧情,巴西/法国,2002,9.0,299100人评价,https://movie.douban.com/subject/1292208/
英雄本色,吴宇森 John Woo,剧情/动作/犯罪,中国香港,1986,8.6,534474人评价,https://movie.douban.com/subject/1297574/
卢旺达饭店,特瑞·乔治 Terry George,剧情/传记/历史/战争,英国/南非/意大利/美国,2004,8.9,326522人评价,https://movie.douban.com/subject/1291822/
纵横四海,吴宇森 John Woo,剧情/喜剧/动作/犯罪,中国香港,1991,8.8,420970人评价,https://movie.douban.com/subject/1295409/
风之谷,宫崎骏 Hayao Miyazaki,动画/奇幻/冒险,日本,1984,8.9,351512人评价,https://movie.douban.com/subject/1291585/
海街日记,是枝裕和 Hirokazu Koreeda,剧情/家庭,日本,2015,8.8,443422人评价,https://movie.douban.com/subject/25895901/
爱在午夜降临前,理查德·林克莱特 Richard Linklater,剧情/爱情,美国/希腊,2013,8.9,397002人评价,https://movie.douban.com/subject/10808442/
绿里奇迹,弗兰克·德拉邦特 Frank Darabont,犯罪/剧情/奇幻/悬疑,美国,1999,8.9,325423人评价,https://movie.douban.com/subject/1300374/
记忆碎片,克里斯托弗·诺兰 Christopher Nolan,犯罪/剧情/悬疑/惊悚,美国,2000,8.7,594479人评价,https://movie.douban.com/subject/1304447/
岁月神偷,罗启锐 Alex Law,剧情/家庭,中国香港/中国大陆,2010,8.7,570680人评价,https://movie.douban.com/subject/3792799/
忠犬八公物语,神山征二郎 Seijirô Kôyama,剧情,日本,1987,9.2,193918人评价,https://movie.douban.com/subject/1959195/
疯狂的石头,宁浩 Hao Ning,喜剧/犯罪,中国大陆/中国香港,2006,8.6,811806人评价,https://movie.douban.com/subject/1862151/
荒蛮故事,达米安·斯兹弗隆 Damián Szifron,剧情/喜剧/犯罪,阿根廷/西班牙,2014,8.8,439552人评价,https://movie.douban.com/subject/24750126/
雨中曲,斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,喜剧/歌舞/爱情,美国,1952,9.1,222200人评价,https://movie.douban.com/subject/1293460/
